fstat_2011
pop	X4	X201	X211	X212	X215	X249	X311	X408	X409	X474	X515
1	154160	234190	270242	168168	246244	205233	336320	233237	135219	165177	233233
1	138162	222226	266258	164160	250254	229209	316392	205229	161253	177193	201207
1	154138	182222	270270	164152	246244	217265	296308	205197	115227	165177	201205
1	138162	182312	270242	134142	242254	181269	312316	205237	191177	165177	201233
1	154138	198186	218286	160160	240254	181205	352336	201213	115219	189189	201237
1	154138	182210	258200	138134	266270	213177	352384	283237	181137	177177	237205
1	164156	198198	234274	160142	270270	249177	320372	205273	137133	193197	199227
1	160160	190190	242294	152134	250262	237229	344244	233197	137191	177177	237199
1	138138	222190	270218	164134	250222	225241	392252	233221	181161	189177	205227
1	134134	222198	270274	164134	242206	237269	328184	229221	137189	177177	237193
1	154138	182170	242262	164164	266242	181229	184252	233237	169227	165177	199199
1	154138	194230	266234	164168	250244	229277	392272	229233	161115	177177	199227
1	154154	190210	218242	152146	250282	217217	312352	233225	137199	177177	205203
1	138160	230214	238242	184146	246222	237233	336336	205263	185135	189177	201233
1	138160	186186	270242	164160	242262	217281	316336	229233	181115	177177	237205
1	154138	230226	254278	164142	250250	225209	244392	197299	161219	165177	201233
1	134138	234202	258200	142184	250266	181229	392426	205205	137241	189189	201237
1	154138	222202	242274	142146	250214	233253	288252	205275	137219	189197	233233
1	160156	198162	238278	152142	230262	221229	316380	275197	165153	165189	205233
1	138162	190206	270282	152152	262244	237205	352340	237197	137119	189177	201199
1	134162	226218	270242	138204	250260	217257	332316	233279	137185	177197	201233
1	134138	194218	266286	142168	266254	229177	332336	229263	135187	193193	201237
1	134138	222226	266226	164156	266270	229273	312340	225237	137193	197161	201199
1	154160	190186	242254	152134	244238	249181	328344	205233	189237	177193	201227
1	154134	222226	290274	152146	250254	245229	352300	275197	161115	165193	201199
1	138138	222190	266310	138142	240244	261277	312380	229229	137161	165177	199203
1	154138	194194	258222	142142	240270	237237	344292	201233	137219	177193	201233
1	154162	194178	242274	164138	266244	177269	332340	221237	189119	165177	203219
1	154154	170210	270200	164138	250270	177269	324320	201237	181135	189177	205205
1	154138	230190	286246	156156	234248	177225	332336	205213	115253	177177	205233
1	134138	198218	266242	160134	244206	261225	336344	205283	115115	177193	233203
1	154160	194178	238278	164138	266244	177233	336184	229291	235185	165177	201221
1	134138	230234	234242	142180	246214	245229	340356	205237	161253	189217	201227
1	138160	170190	242278	212142	266240	261249	344372	221193	161191	193193	199199
1	154134	222206	250270	152176	266278	241241	188422	205291	137191	177177	201205
1	154166	230190	270242	142168	248222	249237	308316	193273	181115	189177	205233
1	154154	230170	258246	164160	250238	217249	312352	275283	115219	165189	227203
1	154154	230202	270262	160134	282244	181181	336344	225237	115245	189189	199205
1	134138	230202	270242	138184	250206	297277	264398	233221	137193	177193	199203
1	154138	230218	242310	156156	234270	177289	332336	205213	181161	177177	201233
1	154160	234234	238200	134172	246230	249237	336414	205237	189203	165177	201237
1	134160	194234	282200	134172	250246	249237	406414	237291	235185	193193	201199
1	134134	198186	262262	142142	266282	233233	288252	201221	161223	177193	201199
1	154160	182198	242254	160146	254230	221257	316252	229213	137177	189213	233203
1	134134	194170	270278	142146	266254	225273	348380	229229	115223	193173	201221
1	154138	194218	270258	164168	266254	177241	184184	205233	115189	177161	199207
1	138162	230222	258246	172146	266210	297205	336418	233237	191157	177193	201233
1	138138	NA	NA	160134	240248	NA	320320	229225	NA	165177	NA
1	154160	230210	258286	176146	278270	245233	328336	213237	161135	177193	205227
1	154156	230218	254286	138142	254270	177241	320284	229225	173201	165193	207219
1	138160	194226	266254	138152	240248	237241	352344	205201	219195	177193	201233
1	134138	230226	250238	138168	230244	229253	280320	233221	115197	177193	237199
1	154162	230190	242282	152134	278246	249237	320410	229233	161115	177193	201199
1	154154	206218	286310	156156	234270	177225	332184	205213	181253	177177	205233
1	154154	230222	258286	200176	278270	245233	328336	205237	161135	193193	205227
1	154154	230222	270254	142168	250254	177225	348320	233193	191173	165177	207221
1	154138	230202	234238	160184	250278	237233	352336	205263	161185	177193	201221
1	154160	230202	270266	168168	266288	205269	188316	229237	219229	189177	201201
1	138160	182234	270242	152146	242254	221269	312188	205213	191177	177193	237233
1	138160	222252	234258	164164	242214	237269	188308	221209	181119	177193	227227
1	154154	230234	242200	160142	250238	217297	288184	205229	137241	193193	203203
1	154134	230198	270266	176146	266252	229205	244422	205229	177157	177177	237227
1	134138	230186	250234	134142	250242	265185	280348	201287	115187	197197	205221
1	154138	230222	270290	164134	234238	261273	352316	205279	137115	193193	201199
1	154156	222202	238242	164160	266258	237297	188344	221221	137161	165177	237199
1	138160	182252	258258	142204	282214	237277	188426	221209	181119	177193	227227
1	154138	234214	NA	134156	NA	229205	312336	193237	NA	165177	NA
1	154160	190186	270234	168168	254248	205233	312244	205237	135219	165177	193203
1	154154	230198	242254	152152	234274	261273	348316	205279	137169	177177	237199
1	138156	194190	266242	152184	246244	225209	320284	233193	219193	177193	201199
1	154138	230214	234242	138168	254222	237233	336336	233287	185135	165193	201233
1	154138	230198	270270	160134	234248	213233	288352	233233	115197	189189	237199
1	154160	194202	238200	142168	250246	249173	406406	205229	189203	193193	201201
1	134162	222170	258258	164204	242214	237237	392340	225209	165119	177193	201203
1	138160	234234	242242	164134	266206	237229	280364	205273	161135	165193	237227
1	138160	182234	270242	152146	266248	181201	312188	205237	177177	165193	237233
1	154154	234178	262274	134200	282282	181281	188360	193237	177197	189213	199233
1	154138	234190	250234	168168	246248	249233	336320	233237	135223	165177	193203
1	138138	190214	254290	146130	240270	241277	352256	205229	137185	177193	207203
1	138160	182190	234274	172146	254230	229233	352336	233213	181235	177177	201203
1	138160	182214	242274	172168	246234	229233	312352	205275	135219	165177	233219
1	154138	230226	242278	164172	250240	245265	308316	213197	191233	189177	199199
1	154154	230178	242262	212200	240230	181281	344284	237237	115187	189193	205203
1	154154	190206	242310	146156	234270	225193	332336	205201	115253	177177	201233
1	154162	222198	242274	152134	250244	241277	184284	205295	253201	165193	201183
1	154160	194234	238200	134142	250282	249237	406406	205229	189203	165193	237193
1	138160	182190	270242	172146	246230	217233	352336	205213	135219	177177	203219
1	154160	234214	270242	168146	254248	205233	312320	233273	135223	165177	193203
1	154160	190214	254290	168130	242248	229257	332352	205229	181137	177193	199203
1	154138	190218	270262	142142	282234	249233	288344	205221	161223	177193	201227
1	138160	230214	234234	184146	246222	297233	336336	205287	191135	189177	201203
1	154138	234198	270242	142172	250248	261177	372380	229193	235191	189177	199203
1	138138	222312	270242	142146	242254	181269	312316	205237	191135	177177	237233
1	154160	234170	234242	212142	266266	261225	344372	283193	161189	165193	201199
1	154138	190206	238310	142156	266270	209289	332188	201213	115203	177197	201199
1	138160	234214	270234	168146	246244	249233	312320	233273	135219	165177	233233
1	154138	182214	234274	168184	254234	229233	312406	233213	235135	165177	203219
1	154154	222234	250238	172168	250242	173233	414360	229283	137189	193197	237199
1	134162	198202	234238	168204	250256	173225	344406	229237	189189	189193	201199
1	154138	230190	250234	138134	244222	237233	336320	205263	161185	177193	205221
1	138162	222312	270242	134142	254248	181269	188188	205237	177177	165193	201233
1	134162	234170	234242	134142	266240	261225	320344	283273	235189	165165	201227
1	154160	230198	278246	164142	248274	217229	352336	197279	137189	177177	201201
1	134160	234190	242242	164134	266240	261229	280344	275273	137189	193193	201227
1	134138	190186	258262	164152	266274	229205	188316	233273	137177	189197	201199
1	138160	170198	258274	164138	254226	229265	188352	205221	137115	177177	199233
1	134160	234234	234238	134172	246230	237229	406406	205237	235203	165193	201237
1	154138	230202	238242	134142	250258	261237	332426	283197	181137	177193	201199
1	138138	230174	242258	168180	266242	269273	316316	225295	177119	165177	199199
1	154138	230198	266278	142146	250234	249229	188308	233221	115193	177177	205219
1	154138	230222	242258	164152	266278	261181	308316	221237	181177	189177	199227
1	138138	198226	282200	164138	254244	265281	316336	233197	161233	189177	201237
1	154160	190186	270234	168168	246244	249233	336244	205237	181219	165177	233203
1	138160	230198	290200	164146	242254	257233	340340	229197	185199	189177	237207
1	154138	222234	270258	142146	242230	229233	296340	283237	191177	189177	227221
dumpop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
